"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Mean Sale Price","2024 December","All Dwelling Statuses","All","Executions","All Buyer Types","Euro","407579"
"Mean Sale Price","2024 December","All Dwelling Statuses","A41: Ballyboughal","Executions","All Buyer Types","Euro","600000"
"Mean Sale Price","2024 December","All Dwelling Statuses","A42: Garristown","Executions","All Buyer Types","Euro",""
"Mean Sale Price","2024 December","All Dwelling Statuses","A45: Oldtown","Executions","All Buyer Types","Euro",""
"Mean Sale Price","2024 December","All Dwelling Statuses","A63: Greystones","Executions","All Buyer Types","Euro","504109"
"Mean Sale Price","2024 December","All Dwelling Statuses","A67: Wicklow","Executions","All Buyer Types","Euro","453109"
"Mean Sale Price","2024 December","All Dwelling Statuses","A75: Castleblaney","Executions","All Buyer Types","Euro","193955"
"Mean Sale Price","2024 December","All Dwelling Statuses","A81: Carrickmacross","Executions","All Buyer Types","Euro","233000"
"Mean Sale Price","2024 December","All Dwelling Statuses","A82: Kells","Executions","All Buyer Types","Euro","290402"
"Mean Sale Price","2024 December","All Dwelling Statuses","A83: Enfield","Executions","All Buyer Types","Euro","376733"
"Mean Sale Price","2024 December","All Dwelling Statuses","A84: Ashbourne","Executions","All Buyer Types","Euro","271600"
"Mean Sale Price","2024 December","All Dwelling Statuses","A85: Dunshaughlin","Executions","All Buyer Types","Euro","460838"
"Mean Sale Price","2024 December","All Dwelling Statuses","A86: Dunboyne","Executions","All Buyer Types","Euro","479167"
"Mean Sale Price","2024 December","All Dwelling Statuses","A91: Dundalk","Executions","All Buyer Types","Euro","334104"
"Mean Sale Price","2024 December","All Dwelling Statuses","A92: Drogheda","Executions","All Buyer Types","Euro","362946"
"Mean Sale Price","2024 December","All Dwelling Statuses","A94: Blackrock","Executions","All Buyer Types","Euro","1005278"
"Mean Sale Price","2024 December","All Dwelling Statuses","A96: Glenageary","Executions","All Buyer Types","Euro","920784"
"Mean Sale Price","2024 December","All Dwelling Statuses","A98: Bray","Executions","All Buyer Types","Euro","581796"
"Mean Sale Price","2024 December","All Dwelling Statuses","C15: Navan","Executions","All Buyer Types","Euro","366446"
"Mean Sale Price","2024 December","All Dwelling Statuses","D01: Dublin 1","Executions","All Buyer Types","Euro","354550"
"Mean Sale Price","2024 December","All Dwelling Statuses","D02: Dublin 2","Executions","All Buyer Types","Euro","526250"
"Mean Sale Price","2024 December","All Dwelling Statuses","D03: Dublin 3","Executions","All Buyer Types","Euro","588701"
"Mean Sale Price","2024 December","All Dwelling Statuses","D04: Dublin 4","Executions","All Buyer Types","Euro","902008"
"Mean Sale Price","2024 December","All Dwelling Statuses","D05: Dublin 5","Executions","All Buyer Types","Euro","558846"
"Mean Sale Price","2024 December","All Dwelling Statuses","D06: Dublin 6","Executions","All Buyer Types","Euro","788007"
"Mean Sale Price","2024 December","All Dwelling Statuses","D07: Dublin 7","Executions","All Buyer Types","Euro","490147"
"Mean Sale Price","2024 December","All Dwelling Statuses","D08: Dublin 8","Executions","All Buyer Types","Euro","365061"
"Mean Sale Price","2024 December","All Dwelling Statuses","D09: Dublin 9","Executions","All Buyer Types","Euro","474455"
