School Name,Latitude,Longitude,Enrollment
ST. LOUIS GIRLS NATIONAL SCHOOL,54.245607,-6.976626,200
DERAVOY NATIONAL SCHOOL,54.356397,-7.024314,78
BALLINSPITTLE N S,51.664166,-8.596099,195
MIDLETON CONVENT N S,51.908214,-8.164152,308
CLOCHAR DAINGEAN,52.142211,-10.270384,142
MONARD N S,52.510934,-8.224356,109
BORRIS MXD N S,52.599655,-6.920434,197
ST BRIGIDS MXD N S,53.375089,-6.362184,900
LUCAN B N S,53.359552,-6.443593,491
CLOCHAR LORETO N S,53.291279,-6.278829,476
CENTRAL SENIOR MXD N S,53.351488,-6.256009,250
PRESENTATION GIRLS PRIMARY SCHOOL,53.383169,-6.58775,600
LISDOWNEY N S,52.788918,-7.388373,106
SCOIL LACHTAIN,52.731102,-7.396559,202
PRESENTATION CONVENT,53.72987,-6.343604,299
SCOIL NAOMH MICHEAL,53.729496,-7.795222,233
FORGNEY N S,53.557417,-7.722174,21
AINE NAOFA N S,53.651115,-6.685878,305
RATOATH JUNIOR N S,53.503101,-6.466391,254
SHANGANAMORE N S,52.953447,-6.993584,104
BALLINAKILL MIXED N S,52.875947,-7.308105,98
PRESENTATION CONVENT (JNR),53.528397,-7.342611,270
S N BHRIDE,53.595805,-7.589469,26
GRANGE CON N S,52.995035,-6.743243,18
BALLYCONNELL N S,52.812708,-6.629192,195
GLENEALY 1 N S,52.962945,-6.152084,106
ESKER N S,53.278533,-8.681703,79
SCOIL CROI IOSA,53.274206,-9.06249,142
S N POL NAOFA,53.765133,-8.48373,54
BAILE AN CHUILINN N S,52.648811,-6.930095,140
LEITRIM MXD N S,53.992719,-8.066967,226
S N na hAille,53.578874,-6.285636,162
NEWTOWN DUNLECKNEY MXD,52.722797,-6.876546,153
S N CHUAN DOIR,51.568066,-9.095129,78
TIPPERARY JNR BN S,52.478172,-8.158732,119
ST MICHAELS NATIONAL SCHOOL,52.583107,-7.242005,67
STACKALLEN N S,53.710638,-6.621117,179
KILTORMER N S,53.235685,-8.274253,72
KILNALECK MIXED N S,53.85972,-7.321483,115
AGLISH N S,52.073317,-7.823057,88
TULLOHA NATIONAL SCHOOL,51.826664,-9.52609,23
RATHOE NS,52.787528,-6.79976,178
KILSKYRE MIXED N S,53.693928,-6.996051,86
S N COLUMCILLE,53.837487,-6.336249,166
ST. MOCHTA'S NATIONAL SCHOOL,53.950106,-6.544132,144
Ballapousta NS,53.821825,-6.557533,174
BALLYCAHILL N S,52.688221,-7.907217,51
S N NAOMH PADRAIG,55.198835,-7.393587,66
SCOIL NAOMH IÓSAF,55.157011,-7.354134,56
GLOUNAGUILLAGH N S,52.072013,-9.832559,142
ST JOHNS,52.959953,-7.799906,161
S N Cor na Fola B,53.375323,-8.005243,230
BALLINDINE B N S,53.672826,-8.95682,129
