Official School Name,Latitude,Longitude,Enrollment
Loreto Secondary School,53.612259,-6.185114,1260
St Marys Secondary School,53.396912,-6.127654,213
Blackrock College,53.303651,-6.190339,1048
Willow Park School,53.306045,-6.195357,206
Coláiste Eoin,53.302626,-6.204946,501
Coláiste Íosagáin,53.3024,-6.204077,481
Oatlands College,53.292484,-6.202492,637
Dominican College,53.301595,-6.189684,514
Rockford Manor Secondary School,53.287059,-6.163012,301
Rathdown School,53.276457,-6.129831,342
Clonkeen College,53.269829,-6.15734,617
Castleknock College,53.368411,-6.36861,771
Mount Sackville Secondary School,53.359833,-6.357088,658
Moyle Park College,53.320279,-6.397356,757
Coláiste Bríde,53.317418,-6.38961,985
Loreto Abbey Secondary School,53.279522,-6.09983,732
Mount Anville Secondary School,53.29328,-6.222606,698
Christian Brothers College,53.289767,-6.148051,549
Loreto College Foxrock,53.272796,-6.176827,604
Holy Child Killiney,53.252851,-6.114771,401
St Joseph Of Cluny Secondary School,53.270691,-6.123592,248
St Benildus College,53.284637,-6.221381,903
St Laurence College,53.250937,-6.138403,299
St Joseph's College,53.358056,-6.440358,911
Coláiste Phádraig CBS,53.356896,-6.432676,686
The Kings Hospital,53.358817,-6.385965,720
St Pauls College,53.373134,-6.193259,655
Árdscoil La Salle,53.388964,-6.169676,276
Manor House School,53.378541,-6.173065,683
De La Salle College,53.296986,-6.264288,370
St Columba's College,53.266464,-6.268967,352
Rockbrook Park School,53.262419,-6.300677,157
Loreto High School,53.292416,-6.283779,651
Sancta Maria College,53.284736,-6.303932,568
Coláiste Éanna,53.286303,-6.298938,595
St Joseph's Secondary School,53.51992,-6.090893,942
St Raphaela's Secondary School,53.283105,-6.205339,628
St. Fintan's High School,53.389185,-6.117946,711
Santa Sabina Dominican College,53.387131,-6.100559,727
Sutton Park School,53.376583,-6.093261,476
Coláiste Choilm,53.452505,-6.225518,423
St Josephs C.B.S.,53.363903,-6.233668,252
St Vincents C.B.S. Glasnevin,53.368259,-6.27498,412
C.B.S. James Street,53.340364,-6.289444,207
Árdscoil Rís,53.369235,-6.228076,552
St Pauls C.B.S.,53.350591,-6.275708,220
